Close,Open,Time,TradedVolume,askClose,bidClose,ema
0.0,0.0,2018-03-12  10:37:00,272,1.23091,1.23085,1.232331
0.0,0.0,2018-03-12  10:38:00,269,1.23105,1.23099,1.232331
0.0,0.0,2018-03-12  10:39:00,406,1.23103,1.23097,1.232331
0.0,0.0,2018-03-12  10:40:00,520,1.23099,1.23093,1.232331
0.0,0.0,2018-03-12  10:41:00,387,1.23099,1.23084,1.232331
0.0,0.0,2018-03-12  10:42:00,178,1.23104,1.23098,1.232331
0.0,0.0,2018-03-12  10:43:00,168,1.2311,1.23104,1.232331
0.0,0.0,2018-03-12  10:44:00,162,1.23125,1.2311,1.232331
0.0,0.0,2018-03-12  10:45:00,251,1.23117,1.23111,1.232331
0.0,0.0,2018-03-12  10:46:00,125,1.23113,1.23107,1.232331
0.0,0.0,2018-03-12  10:47:00,106,1.23118,1.23112,1.232331
0.0,0.0,2018-03-12  10:48:00,75,1.23122,1.23107,1.232331
0.0,0.0,2018-03-12  10:49:00,62,1.23116,1.2311,1.232331
0.0,0.0,2018-03-12  10:50:00,79,1.23124,1.23118,1.232331
0.0,0.0,2018-03-12  10:51:00,183,1.23107,1.23101,1.232331
0.0,0.0,2018-03-12  10:52:00,308,1.23114,1.23108,1.232331
0.0,0.0,2018-03-12  10:53:00,155,1.2311,1.23104,1.232331
0.0,0.0,2018-03-12  10:54:00,195,1.2312,1.23114,1.232331
0.0,0.0,2018-03-12  10:55:00,187,1.2312,1.23114,1.232331
0.0,0.0,2018-03-12  10:56:00,311,1.23125,1.23119,1.232331
0.0,0.0,2018-03-12  10:57:00,180,1.23123,1.23117,1.232331
0.0,0.0,2018-03-12  10:58:00,377,1.23129,1.23123,1.232331
0.0,0.0,2018-03-12  10:59:00,309,1.23125,1.23119,1.232331
0.0,0.0,2018-03-12  11:00:00,392,1.23108,1.23102,1.232331
0.0,0.0,2018-03-12  11:01:00,164,1.23104,1.23098,1.232011
0.0,0.0,2018-03-12  11:02:00,270,1.23088,1.23082,1.232011
0.0,0.0,2018-03-12  11:03:00,318,1.23087,1.23081,1.232011
0.0,0.0,2018-03-12  11:04:00,287,1.23099,1.23093,1.232011
0.0,0.0,2018-03-12  11:05:00,149,1.23103,1.23097,1.232011
